clusID,sersicn,ID
2002628,1.432,2075144
2002628,1.568,2075147
2002628,1.012,2075156
2002628,0.857,2075160
2002628,1.185,2075161
2002628,1.14,2075162
2002628,1.037,2075165
2002628,-9.0,2075171
2002628,0.677,2075172
2002628,1.427,2075174
2002628,-9.0,2075178
2002628,1.034,2075181
2002628,0.802,2075183
2002628,1.165,2075190
2002628,0.859,2075193
2002628,1.123,2075195
2002628,1.133,2075203
2002628,0.694,2075204
2002628,0.748,2075205
2002628,0.683,2075206
2002628,1.145,2075213
2002628,0.984,2075216
2002628,0.81,2075221
2002628,1.631,2075225
2002628,0.598,2075227
2002628,1.435,2075229
2002628,0.496,2075233
2002628,0.841,2075235
2002628,0.961,2075241
2002628,0.876,2075242
2002628,0.9,2075243
2002628,1.742,2075245
2002628,0.565,2075252
2002628,-9.0,2075255
2002628,1.175,2075258
2002628,0.952,2075271
2013898,1.014,2087007
2013898,-9.0,2087008
2013898,-9.0,2087013
2013898,1.234,2087014
2013898,0.83,2087017
2013898,0.967,2087019
2013898,0.605,2087020
2013898,0.948,2087022
2013898,1.023,2087024
2013898,1.261,2087027
2013898,0.979,2087029
2013898,0.981,2087032
2013898,0.931,2087033
2013898,0.492,2087034
2013898,1.223,2087035
2013898,1.54,2087036
2013898,1.452,2087038
2013898,1.225,2087039
2013898,-9.0,2087040
2013898,1.632,2087041
2013898,0.623,2087044
2013898,1.048,2087047
2013898,1.351,2087048
2013898,1.114,2087049
2013898,-9.0,2087051
2013898,1.47,2087053
2013898,0.878,2087054
2013898,1.044,2087055
2013898,0.583,2087057
2013898,1.074,2087059
2013898,-9.0,2087064
2013898,1.157,2087065
2013898,1.247,2087068
2013898,1.784,2087074
2013898,0.695,2087076
2013898,0.703,2087087
2013898,1.034,2087088
2013898,0.905,2087103
2013898,1.309,2087107
2013898,1.232,2087115
2013898,0.801,2087126
2071135,1.501,2147023
2071135,0.473,2147024
2071135,0.594,2147027
2071135,1.27,2147031
2071135,0.732,2147033
2071135,1.095,2147037
2071135,0.798,2147039
2071135,-9.0,2147042
2071135,1.255,2147049
2071135,1.164,2147050
2071135,0.918,2147054
2071135,1.169,2147055
2071135,1.439,2147057
2071135,0.617,2147060
2071135,0.848,2147062
2071135,-9.0,2147064
2071135,0.657,2147065
2071135,1.092,2147068
2071135,1.36,2147069
2071135,0.832,2147073
2071135,0.729,2147076
2071135,1.142,2147078
2071135,1.164,2147080
2071135,-9.0,2147083
2071135,0.547,2147084
2071135,0.782,2147085
2071135,-9.0,2147093
2071135,1.371,2147106
2071135,1.242,2147122
2071135,1.343,2147131
2071135,1.013,2147155
2071135,-9.0,2147166
2199507,1.031,2281613
2199507,0.832,2281618
2199507,1.055,2281620
2199507,0.943,2281624
2199507,0.929,2281626
2199507,1.329,2281628
2199507,-9.0,2281630
2199507,0.73,2281633
2199507,1.655,2281634
2199507,0.81,2281636
2199507,1.541,2281637
2199507,1.082,2281640
2199507,0.729,2281641
2199507,1.95,2281646
2199507,1.95,2281649
2199507,0.836,2281651
2199507,0.979,2281652
2199507,5.64,2281654
2199507,0.913,2281655
2199507,1.174,2281665
2199507,0.61,2281670
2199507,1.292,2281671
2199507,0.829,2281673
2199507,1.336,2281674
2199507,1.029,2281677
2199507,1.306,2281680
2199507,0.821,2281683
2199507,1.5,2281689
2199507,1.226,2281695
